,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type
6908,Mercedes-Benz GLA-Class GLA200 AMG Line,"$200,800","$19,270 /yr",27-Jan-2022,"1,332 cc",330 km,SUV
6909,Mercedes-Benz GLA-Class GLA200 Sport Executive,"$200,800","$19,290 /yr",18-Jan-2022,"1,332 cc",98 km,SUV
6910,Volkswagen Passat 1.4A TSI,"$49,800","$16,700 /yr",02-Jan-2015,"1,390 cc","91,000 km",Luxury
6911,Maserati Levante S 3.0A GranSport,"$315,800","$39,630 /yr",18-Aug-2018,"2,979 cc","47,000 km",SUV
6912,Porsche 718 Boxster 2.0A PDK,"$268,800","$45,880 /yr",19-Jun-2017,"1,988 cc","36,000 km",Sports
6913,Opel Insignia Grandsport Diesel 1.6A Turbo,"$108,800","$11,920 /yr",06-Aug-2020,"1,598 cc","13,000 km",Luxury
6914,Mercedes-Benz A-Class A45 S AMG 4MATIC+ Plus,"$288,800","$29,550 /yr",17-Nov-2020,"1,991 cc","19,200 km",Sports
6915,BMW i8 Coupe (New 10-yr COE),"$358,800","$35,850 /yr",29-Dec-2014,"1,499 cc",-,Sports
6916,Mitsubishi Lancer EX 2.0M GT (COE till 09/2030),"$85,800","$10,650 /yr",23-Sep-2010,"1,998 cc","127,000 km",Sedan
6917,Opel Astra Sports Tourer Diesel 1.6A Turbo,"$87,800","$10,830 /yr",25-Sep-2019,"1,598 cc",-,Stationwagon
6918,Porsche Panamera 3.6A PDK (COE till 01/2031),"$149,800","$17,850 /yr",24-Jan-2011,"3,605 cc","121,000 km",Sports
6919,Lexus GS450h Hybrid (COE till 12/2028),"$57,800","$9,250 /yr",03-Dec-2008,"3,456 cc",-,Luxury
6920,Audi TT Coupe 2.0A TFSI (COE till 03/2028),"$72,800","$13,100 /yr",25-Mar-2008,"1,984 cc","148,088 km",Sports
6921,Honda Civic 1.6A VTi-S,"$59,800","$14,230 /yr",03-Feb-2016,"1,598 cc",-,Sedan
6922,Chevrolet Captiva 2.4A,"$58,800","$13,610 /yr",23-Feb-2016,"2,384 cc","67,700 km",SUV
6923,Mazda 6 2.0A Executive,"$109,800","$12,910 /yr",03-Apr-2020,"1,998 cc",-,Luxury
6924,BMW 2 Series 216d Active Tourer,"$65,800","$16,990 /yr",29-Dec-2015,"1,496 cc",-,Hatchback
6925,Opel Astra Sports Tourer 1.0A,"$57,800","$11,710 /yr",25-May-2017,999 cc,-,Stationwagon
6926,Honda Freed Hybrid 1.5A G,"$100,810","$16,270 /yr",26-Apr-2018,"1,496 cc",-,MPV
6927,Maserati Quattroporte Sport GTS 4.7A (COE till 10/2029),"$117,800","$16,450 /yr",16-Nov-2009,"4,691 cc",-,Sports
6928,Toyota Wish 1.8A,"$67,800","$13,910 /yr",31-Oct-2016,"1,798 cc",-,MPV
6929,Nissan Note 1.2A DIG-S,"$50,800","$12,650 /yr",30-Jun-2016,"1,198 cc",-,Hatchback
6930,Mercedes-Benz E-Class E200ML (COE till 04/2029),"$46,800","$7,030 /yr",18-Jan-2001,"1,998 cc",-,Luxury
6931,Honda Shuttle 1.5A G,"$100,820","$14,790 /yr",28-Feb-2019,"1,496 cc",-,Stationwagon
6932,Mercedes-Benz E-Class E200,"$79,800","$19,990 /yr",28-May-2015,"1,991 cc","106,000 km",Luxury
6933,Mercedes-Benz SLK-Class SLK200K (COE till 08/2028),"$74,800","$12,480 /yr",01-Sep-2008,"1,796 cc","121,000 km",Sports
6934,Toyota Wish 1.8A,"$57,800","$14,270 /yr",09-Nov-2015,"1,798 cc",-,MPV
6935,BMW 1 Series 135i (COE till 10/2028),"$125,848","$20,520 /yr",22-Oct-2008,"2,979 cc",-,Sports
6936,Audi A5 Coupe 2.0A TFSI S-tronic Design,"$126,810","$23,570 /yr",13-Feb-2017,"1,984 cc","78,338 km",Sports
6937,Subaru XV 1.6i-S,"$62,800","$13,660 /yr",30-Aug-2016,"1,600 cc","86,000 km",SUV
6938,Volkswagen Beetle 1.2A TSI Sunroof,"$98,800","$14,210 /yr",29-Nov-2018,"1,197 cc","40,800 km",Hatchback
6939,BMW 5 Series 520i,"$61,800","$20,520 /yr",28-May-2014,"1,997 cc",-,Luxury
6940,Mercedes-Benz CLS-Class CLS350 (COE till 03/2031),"$129,800","$15,140 /yr",02-Jun-2011,"3,498 cc","134,000 km",Luxury
6941,Mercedes-Benz GLA-Class GLA45 S AMG 4MATIC+ Plus,"$358,800","$33,860 /yr",21-Sep-2021,"1,991 cc",388 km,Sports
6942,BMW M Series M5 Competition,"$498,800","$49,280 /yr",09-Sep-2020,"4,395 cc","19,000 km",Sports
6943,Maserati Quattroporte 3.0A,"$228,800","$31,640 /yr",28-Apr-2017,"2,979 cc","48,000 km",Luxury
6944,Toyota Hiace 2.8A DX,"$84,888","$11,230 /yr",25-Mar-2020,"2,754 cc",-,Van
6945,BMW X1 sDrive18i,"$118,800","$18,180 /yr",28-Feb-2018,"1,499 cc","34,500 km",SUV
6946,Land Rover Range Rover Evoque 2.0A 5DR,"$172,800","$20,750 /yr",12-Sep-2019,"1,999 cc","90,000 km",SUV
6947,Mercedes-Benz E-Class E220d,"$142,810","$24,690 /yr",19-May-2017,"1,950 cc",-,Luxury
6948,Volkswagen Scirocco 1.4A TSI (COE till 06/2031),"$79,800","$9,040 /yr",13-Jul-2011,"1,390 cc",-,Sports
6949,Mazda 3 1.5A Sunroof,"$72,800","$11,490 /yr",18-May-2018,"1,496 cc",-,Sedan
6950,BMW 1 Series 116d,"$66,800","$15,490 /yr",26-Aug-2016,"1,496 cc","72,000 km",Hatchback
6951,Honda Vezel 1.5A X,"$69,800","$13,310 /yr",21-Jun-2017,"1,496 cc",-,SUV
6952,Mercedes-Benz C-Class C200 CDI,"$53,800","$21,660 /yr",30-May-2014,"2,143 cc",-,Luxury
6953,Porsche Panamera 3.6A PDK (COE till 01/2031),"$151,800","$18,080 /yr",25-Jan-2011,"3,605 cc","103,000 km",Sports
6954,Kia Soul 1.6A (COE till 06/2030),"$96,825","$12,370 /yr",13-Oct-2010,"1,591 cc","132,000 km",Hatchback
6955,BMW 4 Series 430i Gran Coupe M Sport Sunroof,"$145,800","$23,970 /yr",05-Jul-2017,"1,998 cc","86,000 km",Luxury
6956,Nissan Qashqai 1.2A DIG-T,"$69,807","$14,470 /yr",10-Jan-2017,"1,197 cc",-,SUV
6957,Honda Fit 1.3A G F-Package,"$88,830","$10,740 /yr",27-Aug-2020,"1,317 cc",-,Hatchback
6958,Suzuki Swift Mild Hybrid 1.2A RS,"$90,800","$10,420 /yr",22-Feb-2021,"1,242 cc","15,000 km",Hatchback
6959,Audi A4 Avant 2.0A TFSI Quattro S-tronic (COE till 06/2031),"$98,800","$11,240 /yr",17-Jun-2011,"1,984 cc",-,Stationwagon
6960,Land Rover Range Rover Evoque 2.0A 5DR,"$123,800","$20,360 /yr",19-Apr-2017,"1,999 cc",-,SUV
6961,Mercedes-Benz GLA-Class GLA200 Sport Executive,"$200,800","$19,220 /yr",12-Jan-2022,"1,332 cc",584 km,SUV
6962,Mercedes-Benz C-Class C200 Mild Hybrid AMG Line,"$196,800","$19,860 /yr",20-Nov-2020,"1,497 cc","21,000 km",Luxury
6963,BMW M Series M235i Coupe,"$95,800","$29,150 /yr",16-Jan-2015,"2,979 cc","69,988 km",Sports
6964,Volkswagen Golf GTI 5DR Sunroof,"$81,800","$18,390 /yr",14-Apr-2016,"1,984 cc","85,000 km",Sports
6965,Porsche Panamera 3.6A PDK (COE till 02/2031),"$149,800","$17,710 /yr",18-Feb-2011,"3,605 cc","108,000 km",Sports
6966,Kia Cerato K3 1.6A,"$65,800","$10,890 /yr",13-Mar-2018,"1,591 cc","95,000 km",Sedan
6967,Porsche Boxster S 3.4A PDK (COE till 01/2031),"$192,800","$22,920 /yr",25-Feb-2011,"3,436 cc","61,888 km",Sports
6968,BMW 1 Series 120i Cabriolet (COE till 12/2028),"$80,840","$12,780 /yr",31-Dec-2008,"1,995 cc",-,Sports
6969,Porsche Cayenne 3.6A Tip (COE till 04/2028),"$85,800","$15,210 /yr",25-Apr-2008,"3,598 cc",-,SUV
6970,Toyota Camry 2.0A (COE till 05/2029),"$65,800","$9,760 /yr",11-Jun-2009,"1,998 cc","104,000 km",Luxury
6971,Toyota Corolla Altis 1.6A Elegance,"$63,880","$13,430 /yr",09-Sep-2016,"1,598 cc","79,200 km",Sedan
6972,Volkswagen Passat 1.8A TFSI Sunroof,"$79,800","$15,990 /yr",13-Sep-2016,"1,798 cc","115,000 km",Luxury
6973,BMW X1 sDrive18i,"$82,800","$18,750 /yr",27-Apr-2016,"1,499 cc","150,000 km",SUV
6974,Audi A6 Plug-in Hybrid 2.0A 50 TFSI e Quattro S-Tronic Sport,"$269,988","$23,850 /yr",27-Aug-2022,"1,984 cc",50 km,Luxury
6975,Nissan X-Trail 2.0A 7-Seater Sunroof,"$59,888","$14,880 /yr",12-Dec-2015,"1,997 cc","91,889 km",SUV
6976,BYD e6 Electric,"$129,800","$14,910 /yr",18-Mar-2021,-,"11,000 km",Hatchback
6977,Opel Insignia Grandsport Diesel 1.6A Turbo,"$95,800","$11,820 /yr",29-Jul-2019,"1,598 cc",-,Luxury
6978,Honda Crossroad 1.8A L (COE till 01/2031),"$89,800","$10,770 /yr",03-Jan-2011,"1,799 cc",-,SUV
6979,Mercedes-Benz E-Class E220d Sport,"$322,580","$35,500 /yr",17-Dec-2020,"1,950 cc",-,Luxury
6980,Volkswagen Scirocco 1.4A TSI (COE till 06/2030),"$71,800","$9,180 /yr",09-Sep-2010,"1,390 cc",-,Sports
6981,Porsche Panamera 3.6A PDK (COE till 04/2031),"$153,800","$17,760 /yr",07-Oct-2011,"3,605 cc",-,Sports
6982,Honda Mobilio 1.5A RS i-VTEC Luxe,"$62,800","$13,940 /yr",28-Jun-2016,"1,497 cc",-,MPV
6983,Honda Insight Hybrid 1.3A,"$27,800","$14,850 /yr",19-May-2014,"1,339 cc","90,000 km",Hatchback
6984,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$145,353","$16,610 /yr",13-Aug-2020,"1,595 cc","23,000 km",SUV
6985,Peugeot 3008 Diesel 1.6A e-HDi ETG,"$41,800","$12,150 /yr",26-Aug-2015,"1,560 cc",-,SUV
6986,Toyota Sienta 1.5A X Limited (COE till 05/2029),"$71,800","$10,650 /yr",20-Aug-2009,"1,496 cc","121,000 km",MPV
6987,Honda Crossroad 1.8A (COE till 08/2029),"$78,800","$11,270 /yr",29-Oct-2009,"1,799 cc",-,SUV
6988,Subaru Legacy 2.5i-S Sunroof,"$53,800","$15,050 /yr",13-Aug-2015,"2,498 cc",-,Luxury
6989,Hyundai Elantra 1.6A GLS Elite,"$73,800","$11,680 /yr",31-May-2018,"1,591 cc","69,219 km",Sedan
6990,Honda CR-V 1.5A Turbo 7-Seater,"$131,850","$18,330 /yr",22-Oct-2018,"1,498 cc",-,SUV
6991,BMW X3 sDrive20i M-Sport,"$186,800","$22,090 /yr",25-Nov-2019,"1,998 cc","48,769 km",SUV
6992,Volkswagen Touran Diesel 1.6A TDI Sunroof,"$44,800","$14,090 /yr",31-Mar-2015,"1,598 cc",-,MPV
6993,Mercedes-Benz C-Class C63 AMG Sunroof (COE till 02/2030),"$162,800","$21,940 /yr",04-Feb-2010,"6,208 cc","140,000 km",Sports
6994,Jaguar XF 2.0A Prestige,"$126,800","$18,650 /yr",14-Nov-2017,"1,999 cc","53,800 km",Luxury
6995,MINI Cooper Countryman 1.6A (COE till 03/2031),"$85,888","$10,030 /yr",29-Mar-2011,"1,598 cc","130,000 km",Hatchback
6996,Honda Vezel 1.5A X,"$53,800","$13,920 /yr",04-Mar-2016,"1,496 cc","83,500 km",SUV
6997,Audi Q3 1.4A TFSI S-Tronic,"$164,800","$17,810 /yr",22-Jan-2021,"1,395 cc","25,000 km",SUV
6998,Honda Vezel 1.5A S Honda Sensing,"$50,800","$13,170 /yr",11-Dec-2015,"1,496 cc","88,715 km",SUV
6999,McLaren 650S,"$620,800","$86,650 /yr",03-Mar-2017,"3,798 cc","32,000 km",Sports
7000,Mitsubishi Attrage 1.2A Sports (OPC),"$61,800","$8,640 /yr",15-Jul-2019,"1,193 cc","28,000 km",Sedan
7001,Toyota Sienta Hybrid 1.5A G,"$91,800","$13,820 /yr",28-Sep-2018,"1,496 cc","44,880 km",MPV
7002,Mercedes-Benz C-Class C180 (New 10-yr COE),"$104,800","$10,470 /yr",04-Dec-2012,"1,595 cc","119,000 km",Luxury
7003,Suzuki Vitara 1.6A GLX,"$58,800","$13,830 /yr",23-Jun-2016,"1,586 cc","62,805 km",SUV
7004,Honda Vezel 1.5A X,"$58,800","$13,770 /yr",20-Jul-2016,"1,496 cc","72,000 km",SUV
7005,Toyota Corolla Axio 1.5A X,"$52,800","$12,270 /yr",19-Sep-2016,"1,496 cc","52,000 km",Sedan
7006,Toyota Dyna 150 3.0M,"$44,800","$13,490 /yr",30-Dec-2015,"2,982 cc",-,Truck
7007,Toyota Wish 1.8A,"$69,800","$14,590 /yr",11-Oct-2016,"1,798 cc","86,000 km",MPV
7008,Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC,"$174,800","$26,770 /yr",27-Dec-2017,"1,991 cc","54,000 km",SUV
7009,Toyota Harrier 2.0A Elegance Panoramic Roof,"$69,888","$17,260 /yr",04-Dec-2015,"1,986 cc","164,000 km",SUV
7010,Skoda Karoq 1.5A TSI Ambition,"$99,800","$13,720 /yr",30-Jan-2019,"1,498 cc","80,000 km",SUV
7011,Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC Night Edition Sunroof,"$199,800","$25,990 /yr",01-Feb-2019,"1,991 cc","45,000 km",SUV
7012,Hyundai Santa Fe 2.4A GLS,"$99,800","$15,690 /yr",02-Apr-2018,"2,359 cc","66,000 km",SUV
7013,Toyota Camry 2.4A (COE till 02/2027),"$43,800","$9,840 /yr",15-Feb-2007,"2,362 cc","89,000 km",Luxury
7014,Mazda 3 Mild Hybrid 1.5A Elegance Sunroof,"$99,800","$13,340 /yr",26-Jul-2019,"1,496 cc","71,000 km",Sedan
7015,Kia Cerato 1.6A GT Line Sunroof,"$109,800","$13,840 /yr",02-Dec-2019,"1,591 cc","73,188 km",Sedan
7016,Mazda CX-5 2.0A Premium,"$135,800","$16,030 /yr",28-Feb-2020,"1,998 cc","51,000 km",SUV
7017,Nissan NV200 1.5M,"$46,800","$8,950 /yr",27-Nov-2017,"1,461 cc",-,Van
7018,Honda Vezel 1.5A X Honda Sensing,"$64,800","$13,150 /yr",24-Jan-2017,"1,496 cc","55,339 km",SUV
7019,Mitsubishi Triton L200 Double-Cab 2.5A,"$46,800","$17,960 /yr",13-Apr-2015,"2,477 cc","80,300 km",Truck
7020,Volkswagen Golf 1.4A TSI EQP Sunroof,"$49,800","$14,390 /yr",28-Aug-2015,"1,395 cc","109,000 km",Hatchback
7021,Maserati GranTurismo S 4.7A (COE till 09/2030),"$170,000","$21,150 /yr",17-Sep-2010,"4,691 cc","65,000 km",Sports
7022,Nissan GTR 3.8A (COE till 03/2028),"$222,000","$40,230 /yr",11-Mar-2008,"3,799 cc",-,Sports
7023,Maserati GranTurismo S MC Sport Line 4.7A,"$139,800","$102,700 /yr",31-May-2013,"4,691 cc","77,162 km",Sports
7024,Toyota Corolla Altis 1.6A Elegance (COE till 03/2032),"$83,800","$8,750 /yr",25-Jun-2012,"1,598 cc","129,000 km",Sedan
7025,Mercedes-Benz CLA-Class CLA200 Progressive,"$160,800","$20,380 /yr",09-Jul-2019,"1,332 cc","49,000 km",Luxury
7026,Mercedes-Benz CLA-Class CLA200 AMG Line (COE till 05/2032),"$123,888","$12,710 /yr",11-Dec-2013,"1,595 cc","143,000 km",Luxury
7027,Honda Shuttle Hybrid 1.5A G LED,"$111,800","$12,880 /yr",08-Jan-2021,"1,496 cc","28,204 km",Stationwagon
7028,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$144,800","$17,170 /yr",17-Mar-2020,"1,595 cc","28,083 km",SUV
7029,Mitsubishi Lancer EX 1.6A Sports,"$65,000","$11,810 /yr",22-Aug-2017,"1,590 cc","74,000 km",Sedan
7030,Toyota Corolla Altis 1.6A Classic,"$68,777","$13,730 /yr",11-Jan-2017,"1,598 cc",-,Sedan
7031,Subaru Forester 2.0i-L Sunroof,"$72,800","$14,320 /yr",31-Mar-2017,"1,995 cc","77,357 km",SUV
7032,MINI Cooper S 2.0A 5DR,"$189,800","$18,340 /yr",17-Nov-2021,"1,998 cc","7,000 km",Sports
7033,Audi A3 Sportback 1.0A TFSI S-tronic,"$102,999","$14,820 /yr",16-Nov-2018,999 cc,"31,900 km",Hatchback
7034,BMW X3 sDrive20i,"$129,800","$22,890 /yr",28-Jun-2017,"1,997 cc","80,000 km",SUV
7035,Mitsubishi Attrage 1.2A Sports,"$69,555","$9,990 /yr",21-May-2019,"1,193 cc","39,519 km",Sedan
7036,Volkswagen Passat 1.8A TSI,"$49,800","$15,220 /yr",28-Nov-2014,"1,798 cc","58,000 km",Luxury
7037,Lexus GS Turbo GS200t Luxury,"$111,800","$21,750 /yr",27-Feb-2016,"1,998 cc","82,100 km",Luxury
7038,Honda HR-V 1.5A LX,"$88,888","$12,850 /yr",20-Sep-2018,"1,496 cc","49,000 km",SUV
7039,Toyota Vios 1.5A E,"$79,300","$11,550 /yr",10-Dec-2018,"1,496 cc","27,000 km",Sedan
7040,Mazda 3 1.5A Deluxe Sunroof,"$77,988","$12,550 /yr",15-Mar-2018,"1,496 cc","53,211 km",Sedan
7041,MINI Cooper 1.5A 5DR,"$151,900","$17,170 /yr",07-Aug-2020,"1,499 cc","18,000 km",Hatchback
7042,Kia Cerato K3 1.6A,"$68,988","$10,890 /yr",21-Jun-2018,"1,591 cc","37,545 km",Sedan
7043,BMW M Series M5,"$425,800","$47,260 /yr",25-Nov-2019,"4,395 cc","19,600 km",Sports
7044,Porsche 911 C4 Coupe PDK (COE till 10/2029),"$258,800","$36,140 /yr",03-Nov-2009,"3,614 cc","36,000 km",Sports
7045,BMW X5 xDrive35i 7-Seater,"$145,000","$27,630 /yr",03-Jun-2016,"2,979 cc","56,265 km",SUV
7046,Mercedes-Benz E-Class E200 Mild Hybrid Sport,"$245,888",N.A,N.A.,"1,991 cc",8 km,Luxury
7047,Mazda Biante 2.0A,"$75,800","$15,290 /yr",18-Nov-2016,"1,998 cc",-,MPV
7048,Honda Vezel 1.5A X Honda Sensing,"$62,800","$13,910 /yr",02-Nov-2016,"1,496 cc","97,000 km",SUV
7049,Hyundai Avante 1.6A GLS S,"$86,800","$11,540 /yr",24-Jul-2019,"1,591 cc","63,000 km",Sedan
7050,Toyota Supra 2.0M Turbo Targa,"$78,800",N.A,N.A.,"1,988 cc",-,Sports
7051,Honda N-Van Turbo Style Fun Honda Sensing,"$71,800","$7,240 /yr",04-Aug-2022,658 cc,-,Van
7052,MINI Cooper Cabriolet 1.5A,"$162,900","$19,800 /yr",13-Dec-2019,"1,499 cc","31,000 km",Sports
7053,Honda Shuttle 1.5A G,"$89,500","$11,870 /yr",24-Oct-2019,"1,496 cc","22,756 km",Stationwagon
7054,BMW X1 sDrive18i M-Sport,"$99,800","$20,190 /yr",31-Oct-2016,"1,499 cc","90,000 km",SUV
7055,Honda Jazz 1.3A L (COE till 05/2029),"$64,888","$9,620 /yr",24-Jun-2009,"1,339 cc","120,000 km",Hatchback
7056,Audi Q5 2.0A TFSI Quattro S-tronic Sport Panoramic Roof,"$141,800","$22,160 /yr",28-Dec-2017,"1,984 cc","56,680 km",SUV
7057,Mazda 6 2.5A Premium,"$89,988","$13,590 /yr",18-May-2018,"2,488 cc","86,405 km",Luxury
7058,Honda Vezel Hybrid 1.5A X Honda Sensing,"$75,888","$14,080 /yr",21-Nov-2017,"1,496 cc","51,800 km",SUV
7059,Volkswagen Beetle 1600,"$48,800",N.A,N.A.,"1,580 cc",-,Hatchback
7060,Mazda CX-5 2.0A,"$115,800","$14,940 /yr",10-Sep-2019,"1,998 cc","55,100 km",SUV
7061,Honda Vezel 1.5A X,"$66,988","$12,940 /yr",16-May-2017,"1,496 cc","82,908 km",SUV
7062,Toyota Harrier 2.0A Elegance Panoramic Roof,"$98,800","$16,330 /yr",13-Oct-2017,"1,986 cc","64,933 km",SUV
7063,Mercedes-Benz S-Class S320L,"$308,800","$34,440 /yr",11-Oct-2019,"2,996 cc","22,000 km",Luxury
7064,Toyota Granace Diesel 2.8A G 8-Seater,"$330,888",N.A,N.A.,"2,754 cc",8 km,MPV
7065,Lexus RX350 (COE till 01/2029),"$79,800","$12,440 /yr",09-Feb-2009,"3,456 cc","157,381 km",SUV
7066,Mercedes-Benz S-Class S320L,"$192,800","$28,200 /yr",20-Feb-2017,"2,996 cc","79,000 km",Luxury
7067,Honda Civic 1.6A VTi,"$102,800","$12,580 /yr",17-Jan-2020,"1,597 cc","53,000 km",Sedan
7068,Volkswagen Golf 1.0A TSI Trendline,"$81,888","$11,830 /yr",22-Oct-2018,999 cc,"36,000 km",Hatchback
7069,MINI Cooper S Clubman 2.0A,"$187,900","$19,960 /yr",30-Nov-2020,"1,998 cc","14,000 km",Sports
7070,Toyota Sienta Hybrid 1.5A G,"$79,800","$14,550 /yr",27-Dec-2017,"1,496 cc","78,417 km",MPV
7071,Lexus ES250 Executive Sunroof,"$118,888","$18,980 /yr",25-Oct-2017,"2,494 cc","33,888 km",Luxury
7072,Mercedes-Benz A-Class A200 (New 10-yr COE),"$112,800","$11,270 /yr",19-Jul-2013,"1,595 cc","105,000 km",Hatchback
7073,Mercedes-Benz E-Class E200 CGI (COE till 08/2030),"$87,666","$11,070 /yr",05-Aug-2010,"1,796 cc",-,Luxury
7074,Mercedes-Benz C-Class C180 Avantgarde,"$118,800","$20,350 /yr",26-May-2017,"1,595 cc","91,000 km",Luxury
7075,Nissan Qashqai 1.2A DIG-T,"$73,800","$13,210 /yr",13-Sep-2017,"1,197 cc","73,600 km",SUV
7076,Toyota Corolla Altis 1.6A (COE till 09/2031),"$76,800","$8,490 /yr",20-Sep-2011,"1,598 cc",-,Sedan
7077,Mercedes-Benz GLC-Class GLC300 Mild Hybrid AMG Line 4MATIC Premium,"$243,800","$27,510 /yr",21-Jan-2020,"1,991 cc","35,888 km",SUV
7078,Jaguar E-PACE Mild Hybrid 1.5A SE,"$179,800","$18,760 /yr",31-May-2021,"1,498 cc","14,000 km",SUV
7079,Skoda Kodiaq 1.4A TSI Ambition Plus,"$156,800","$17,290 /yr",25-Nov-2020,"1,395 cc","19,888 km",SUV
7080,Volkswagen Passat 1.8A TFSI,"$108,988","$15,450 /yr",17-Oct-2018,"1,798 cc","53,000 km",Luxury
7081,Mitsubishi Evolution 10 GSR (COE till 11/2028),"$158,800","$25,430 /yr",02-Mar-2009,"1,998 cc","193,188 km",Sports
7082,Toyota Harrier 2.0A Elegance Panoramic Roof,"$95,800","$16,950 /yr",25-May-2017,"1,986 cc","56,580 km",SUV
7083,Renault Kadjar Diesel 1.5A dCi BOSE Edition Sunroof,"$64,388","$12,740 /yr",14-Feb-2017,"1,461 cc","84,100 km",SUV
7084,Honda Freed Hybrid 1.5A G Honda Sensing,"$112,600","$20,810 /yr",19-Dec-2017,"1,496 cc","62,000 km",MPV
7085,Kia Cerato K3 1.6A,"$65,800","$12,630 /yr",31-May-2017,"1,591 cc","68,734 km",Sedan
7086,Honda N-Van Turbo Style Fun Honda Sensing,"$73,888","$7,460 /yr",29-Jul-2022,658 cc,-,Van
7087,Porsche 718 Boxster 2.0A PDK,"$316,800","$43,870 /yr",28-Aug-2018,"1,988 cc","33,160 km",Sports
7088,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$155,800","$17,030 /yr",15-Jan-2021,"1,595 cc","24,714 km",SUV
7089,Kia Stinger 2.0A Sunroof,"$158,800","$19,120 /yr",18-Dec-2019,"1,998 cc","19,888 km",Luxury
7090,Honda CR-Z Hybrid 1.5M (COE till 10/2031),"$86,800","$9,470 /yr",18-Nov-2011,"1,497 cc","82,000 km",Sports
7091,BMW 6 Series 640i Gran Coupe Sunroof (COE till 07/2032),"$155,800","$15,720 /yr",28-Sep-2012,"2,979 cc","99,500 km",Luxury
7092,Honda N-Van Turbo Style Fun Honda Sensing,"$74,800","$7,490 /yr",26-Aug-2022,658 cc,-,Van
7093,Nissan NV200 1.6A DX,"$43,800","$9,180 /yr",12-Jun-2017,"1,597 cc",-,Van
7094,Honda Stream 1.8A X (COE till 04/2028),"$63,900","$11,410 /yr",11-Apr-2008,"1,799 cc","133,549 km",MPV
7095,BMW 7 Series 740Li Sunroof (COE till 04/2031),"$120,000","$13,860 /yr",11-Jul-2011,"2,979 cc","140,000 km",Luxury
7096,Mercedes-Benz C-Class C180 Avantgarde,"$101,800","$19,760 /yr",22-Nov-2016,"1,595 cc","84,000 km",Luxury
7097,Honda Stream 1.8A Style Edition (COE till 10/2030),"$74,800","$9,220 /yr",15-Oct-2010,"1,799 cc","155,000 km",MPV
7098,Nissan Cabstar,"$28,800","$11,430 /yr",13-Mar-2015,"2,953 cc",-,Truck
7099,Mercedes-Benz CLA-Class CLA180,"$70,888","$20,650 /yr",07-Jul-2015,"1,595 cc","133,000 km",Luxury
7100,Honda Vezel 1.5A X,"$61,800","$13,850 /yr",08-Sep-2016,"1,496 cc","83,312 km",SUV
7101,Hyundai Avante 1.6A S,"$83,888","$11,310 /yr",10-Jun-2019,"1,591 cc",-,Sedan
7102,Volkswagen Sportsvan 1.4A Highline Sunroof,"$79,500","$13,380 /yr",31-Aug-2017,"1,395 cc","81,000 km",Hatchback
7103,Hyundai Avante 1.6A GLS S,"$90,800","$11,190 /yr",12-Feb-2020,"1,591 cc","32,000 km",Sedan
7104,Volkswagen Jetta 1.4A TSI Sportline Sunroof,"$58,800","$11,730 /yr",21-Sep-2016,"1,390 cc","70,000 km",Sedan
7105,Honda Vezel 1.5A X,"$88,800","$12,370 /yr",16-Apr-2019,"1,496 cc","56,000 km",SUV
7106,Hyundai i30 Wagon 1.4A T-GDi DCT Turbo,"$79,800","$12,990 /yr",27-Jun-2018,"1,353 cc","92,000 km",Stationwagon
7107,Mercedes-Benz E-Class E200 Edition E Sunroof,"$98,800","$19,920 /yr",28-Dec-2015,"1,991 cc",-,Luxury
7108,BMW i8,"$278,888","$81,790 /yr",19-Dec-2014,"1,499 cc","15,700 km",Sports
7109,Honda City 1.5A SV,"$52,800","$13,370 /yr",16-Feb-2016,"1,497 cc","110,325 km",Sedan
7110,Honda N-Van Turbo Style Fun Honda Sensing,"$72,888","$7,320 /yr",15-Aug-2022,658 cc,-,Van
7111,Mercedes-Benz E-Class E250 Cabriolet AMG (COE till 04/2031),"$119,800","$13,840 /yr",21-Sep-2011,"1,796 cc","112,000 km",Sports
7112,Mitsubishi Eclipse Cross 1.5A,"$106,888","$13,680 /yr",15-Aug-2019,"1,499 cc","36,788 km",SUV
7113,BMW M Series M3 Convertible (COE till 12/2031),"$153,800","$16,510 /yr",28-Dec-2011,"3,999 cc","104,000 km",Sports
7114,Honda Vezel 1.5A X,"$54,800","$12,600 /yr",11-Aug-2016,"1,496 cc","93,602 km",SUV
7115,Mercedes-Benz C-Class C160 Avantgarde,"$158,888","$17,040 /yr",30-Oct-2020,"1,497 cc",-,Luxury
7116,Honda Vezel 1.5A X Honda Sensing,"$68,888","$13,190 /yr",13-Jun-2017,"1,496 cc","47,358 km",SUV
7117,Mazda 3 1.5A Deluxe Sunroof,"$62,800","$12,990 /yr",14-Dec-2016,"1,496 cc","96,000 km",Sedan
7118,BMW M Series M3 Coupe Competition Package (New 10-yr COE),"$193,888","$19,370 /yr",29-Mar-2013,"3,999 cc","122,000 km",Sports
